#,Date-Time (MDT),Ch: 1 - Temperature   (Â°C ),Host Connected,End of File,EOF,"Temp, °F"
1,2022-04-20 17:41:38,16.8570794,,,,62.34
2,2022-04-20 17:44:38,17.41478602,,,,63.35
3,2022-04-20 17:47:38,17.07158195,,,,62.73
4,2022-04-20 17:50:38,16.98578093,,,,62.57
5,2022-04-20 17:53:38,17.15738297,,,,62.88
6,2022-04-20 17:56:38,17.07158195,,,,62.73
7,2022-04-20 17:59:38,17.11448246,,,,62.81
8,2022-04-20 18:02:38,17.07158195,,,,62.73
9,2022-04-20 18:05:38,16.77127838,,,,62.19
10,2022-04-20 18:08:38,16.64257897,,,,61.96
11,2022-04-20 18:11:38,16.68547948,,,,62.03
12,2022-04-20 18:14:38,16.55677795,,,,61.80
13,2022-04-20 18:17:38,16.55677795,,,,61.80
14,2022-04-20 18:20:38,16.55677795,,,,61.80
15,2022-04-20 18:23:38,16.47097694,,,,61.65
16,2022-04-20 18:26:38,16.38517592,,,,61.49
17,2022-04-20 18:29:38,16.21357388,,,,61.18
18,2022-04-20 18:32:38,16.25647439,,,,61.26
19,2022-04-20 18:35:38,15.99907133,,,,60.80
20,2022-04-20 18:38:38,15.95617082,,,,60.72
21,2022-04-20 18:41:38,15.91327243,,,,60.64
22,2022-04-20 18:44:38,15.87037192,,,,60.57
23,2022-04-20 18:47:38,15.78457091,,,,60.41
24,2022-04-20 18:50:38,15.78457091,,,,60.41
25,2022-04-20 18:53:38,15.7416704,,,,60.34
26,2022-04-20 18:56:38,15.48426734,,,,59.87
27,2022-04-20 18:59:38,15.26976479,,,,59.49
28,2022-04-20 19:02:38,15.22686428,,,,59.41
29,2022-04-20 19:05:38,14.96946335,,,,58.95
30,2022-04-20 19:08:38,14.58335876,,,,58.25
31,2022-04-20 19:11:38,14.45465724,,,,58.02
32,2022-04-20 19:14:38,14.36885834,,,,57.86
33,2022-04-20 19:17:38,14.41175885,,,,57.94
34,2022-04-20 19:20:38,14.32595783,,,,57.79
35,2022-04-20 19:23:38,14.32595783,,,,57.79
36,2022-04-20 19:26:38,14.06855477,,,,57.32
37,2022-04-20 19:29:38,13.85405223,,,,56.94
38,2022-04-20 19:32:38,13.46794976,,,,56.24
39,2022-04-20 19:35:38,13.08184518,,,,55.55
40,2022-04-20 19:38:38,12.91024314,,,,55.24
41,2022-04-20 19:41:38,12.56704119,,,,54.62
42,2022-04-20 19:44:38,12.22383711,,,,54.00
43,2022-04-20 19:47:38,11.70903312,,,,53.08
44,2022-04-20 19:50:38,11.32293065,,,,52.38
45,2022-04-20 19:53:38,10.593622,,,,51.07
46,2022-04-20 19:56:38,10.46492259,,,,50.84
47,2022-04-20 19:59:38,10.29332055,,,,50.53
48,2022-04-20 20:02:38,9.778516557,,,,49.60
49,2022-04-20 20:05:38,9.435312483,,,,48.98
50,2022-04-20 20:08:38,9.349511464,,,,48.83
51,2022-04-20 20:11:38,9.006309509,,,,48.21
52,2022-04-20 20:14:38,8.963409,,,,48.13
53,2022-04-20 20:17:38,9.049210019,,,,48.29
54,2022-04-20 20:20:38,9.220809937,,,,48.60
55,2022-04-20 20:23:38,8.577304416,,,,47.44
56,2022-04-20 20:26:38,7.976699405,,,,46.36
57,2022-04-20 20:29:38,7.762196859,,,,45.97
58,2022-04-20 20:32:38,7.418994904,,,,45.35
59,2022-04-20 20:35:38,7.461895413,,,,45.43
60,2022-04-20 20:38:38,7.67639584,,,,45.82
61,2022-04-20 20:41:38,7.976699405,,,,46.36
62,2022-04-20 20:44:38,8.062500424,,,,46.51
63,2022-04-20 20:47:38,8.105400933,,,,46.59
64,2022-04-20 20:50:38,7.67639584,,,,45.82
65,2022-04-20 20:53:38,7.247392866,,,,45.05
66,2022-04-20 20:56:38,7.03289032,,,,44.66
67,2022-04-20 20:59:38,8.148301442,,,,46.67
68,2022-04-20 21:02:38,8.148301442,,,,46.67
69,2022-04-20 21:05:38,8.27700297,,,,46.90
70,2022-04-20 21:08:38,8.019599915,,,,46.44
71,2022-04-20 21:11:38,7.67639584,,,,45.82
72,2022-04-20 21:14:38,7.247392866,,,,45.05
73,2022-04-20 21:17:38,7.376094394,,,,45.28
74,2022-04-20 21:20:38,7.418994904,,,,45.35
75,2022-04-20 21:23:38,7.118691338,,,,44.81
76,2022-04-20 21:26:38,7.204492357,,,,44.97
77,2022-04-20 21:29:38,7.504795922,,,,45.51
78,2022-04-20 21:32:38,7.890898387,,,,46.20
79,2022-04-20 21:35:38,8.019599915,,,,46.44
80,2022-04-20 21:38:38,8.148301442,,,,46.67
81,2022-04-20 21:41:38,8.148301442,,,,46.67
82,2022-04-20 21:44:38,8.019599915,,,,46.44
83,2022-04-20 21:47:38,7.719296349,,,,45.89
84,2022-04-20 21:50:38,7.376094394,,,,45.28
85,2022-04-20 21:53:38,7.204492357,,,,44.97
86,2022-04-20 21:56:38,7.03289032,,,,44.66
87,2022-04-20 21:59:38,6.818387773,,,,44.27
88,2022-04-20 22:02:38,6.689688365,,,,44.04
89,2022-04-20 22:05:38,7.118691338,,,,44.81
90,2022-04-20 22:08:38,7.547694312,,,,45.59
91,2022-04-20 22:11:38,7.933798896,,,,46.28
92,2022-04-20 22:14:38,7.847997877,,,,46.13
93,2022-04-20 22:17:38,7.547694312,,,,45.59
94,2022-04-20 22:20:38,7.247392866,,,,45.05
95,2022-04-20 22:23:38,6.904188792,,,,44.43
96,2022-04-20 22:26:38,6.689688365,,,,44.04
97,2022-04-20 22:29:38,6.603887346,,,,43.89
98,2022-04-20 22:32:38,6.732588874,,,,44.12
99,2022-04-20 22:35:38,6.989989811,,,,44.58
100,2022-04-20 22:38:38,6.989989811,,,,44.58
101,2022-04-20 22:41:38,6.904188792,,,,44.43
102,2022-04-20 22:44:38,7.118691338,,,,44.81
103,2022-04-20 22:47:38,6.989989811,,,,44.58
104,2022-04-20 22:50:38,6.003280216,,,,42.81
105,2022-04-20 22:53:38,5.359774696,,,,41.65
