#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Ch: 2 - RH   (%),Dew Point   (°C ),Host Connected,End of File
102,12/03/2022 13:02:35,-4.14,74.58,-7.99,,
103,12/03/2022 13:05:35,-4.00,75.00,-7.78,,
104,12/03/2022 13:08:35,-4.05,74.95,-7.83,,
105,12/03/2022 13:11:35,-4.02,76.09,-7.61,,
106,12/03/2022 13:14:35,-4.20,77.40,-7.56,,
107,12/03/2022 13:17:35,-4.11,78.00,-7.38,,
108,12/03/2022 13:20:35,-3.80,77.95,-7.08,,
109,12/03/2022 13:23:35,-3.78,77.41,-7.15,,
110,12/03/2022 13:26:35,-3.57,77.08,-7.01,,
111,12/03/2022 13:29:35,-3.65,76.57,-7.17,,
112,12/03/2022 13:32:35,-3.58,77.66,-6.92,,
113,12/03/2022 13:35:35,-3.54,76.25,-7.12,,
114,12/03/2022 13:38:35,-3.67,77.02,-7.11,,
115,12/03/2022 13:41:35,-3.46,76.20,-7.04,,
116,12/03/2022 13:44:35,-3.60,77.15,-7.02,,
117,12/03/2022 13:47:35,-3.62,77.23,-7.03,,
118,12/03/2022 13:50:35,-3.51,78.12,-6.77,,
119,12/03/2022 13:53:35,-3.54,78.03,-6.82,,
120,12/03/2022 13:56:35,-3.55,77.39,-6.94,,
121,12/03/2022 13:59:35,-3.45,77.91,-6.75,,
122,12/03/2022 14:02:35,-3.26,77.87,-6.57,,
123,12/03/2022 14:05:35,-3.38,78.43,-6.60,,
124,12/03/2022 14:08:35,-3.39,78.55,-6.59,,
125,12/03/2022 14:11:35,-3.46,78.38,-6.68,,
126,12/03/2022 14:14:35,-3.41,78.56,-6.61,,
127,12/03/2022 14:17:35,-3.22,77.66,-6.57,,
128,12/03/2022 14:20:35,-3.15,77.38,-6.54,,
129,12/03/2022 14:23:35,-2.89,76.57,-6.43,,
130,12/03/2022 14:26:35,-2.89,76.23,-6.49,,
131,12/03/2022 14:29:35,-2.90,76.63,-6.43,,
132,12/03/2022 14:32:35,-2.88,77.09,-6.33,,
133,12/03/2022 14:35:35,-2.61,75.98,-6.26,,
134,12/03/2022 14:38:35,-2.54,76.12,-6.17,,
135,12/03/2022 14:41:35,-2.63,75.92,-6.29,,
136,12/03/2022 14:44:35,-2.74,76.71,-6.26,,
137,12/03/2022 14:47:35,-2.81,77.47,-6.20,,
138,12/03/2022 14:50:35,-2.75,76.83,-6.25,,
139,12/03/2022 14:53:35,-2.51,75.64,-6.22,,
140,12/03/2022 14:56:35,-2.50,75.76,-6.19,,
141,12/03/2022 14:59:35,-2.63,75.69,-6.33,,
142,12/03/2022 15:02:35,-2.80,76.92,-6.29,,
143,12/03/2022 15:05:35,-2.57,76.12,-6.19,,
144,12/03/2022 15:08:35,-2.44,74.71,-6.31,,
145,12/03/2022 15:11:35,-2.14,74.20,-6.11,,
146,12/03/2022 15:14:35,-2.09,73.47,-6.20,,
147,12/03/2022 15:17:35,-2.07,72.74,-6.31,,
148,12/03/2022 15:20:35,-2.20,73.23,-6.34,,
149,12/03/2022 15:23:35,-2.14,73.51,-6.23,,
150,12/03/2022 15:26:35,-2.35,74.40,-6.28,,
151,12/03/2022 15:29:35,-2.10,73.51,-6.20,,
152,12/03/2022 15:32:35,-2.29,74.65,-6.18,,
153,12/03/2022 15:35:35,-2.34,74.90,-6.19,,
154,12/03/2022 15:38:35,-2.15,74.28,-6.11,,
155,12/03/2022 15:41:35,-2.21,74.41,-6.15,,
156,12/03/2022 15:44:35,-2.33,74.92,-6.17,,
157,12/03/2022 15:47:35,-2.44,75.54,-6.17,,
158,12/03/2022 15:50:35,-2.59,76.64,-6.12,,
159,12/03/2022 15:53:35,-2.67,77.93,-5.99,,
160,12/03/2022 15:56:35,-2.51,77.01,-5.99,,
161,12/03/2022 15:59:35,-2.43,76.18,-6.05,,
162,12/03/2022 16:02:35,-2.53,76.53,-6.09,,
163,12/03/2022 16:05:35,-2.60,76.56,-6.15,,
164,12/03/2022 16:08:35,-2.60,77.01,-6.07,,
165,12/03/2022 16:11:35,-2.68,77.21,-6.12,,
166,12/03/2022 16:14:35,-2.61,77.53,-6.00,,
167,12/03/2022 16:17:35,-2.50,76.99,-5.98,,
168,12/03/2022 16:20:35,-2.44,76.29,-6.04,,
169,12/03/2022 16:23:35,-2.56,76.85,-6.06,,
170,12/03/2022 16:26:35,-2.63,76.88,-6.13,,
171,12/03/2022 16:29:35,-2.76,77.36,-6.17,,
172,12/03/2022 16:32:35,-2.74,78.31,-5.99,,
173,12/03/2022 16:35:35,-2.75,77.81,-6.08,,
174,12/03/2022 16:38:35,-2.72,77.73,-6.07,,
175,12/03/2022 16:41:35,-2.76,77.19,-6.20,,
176,12/03/2022 16:44:35,-2.80,77.64,-6.16,,
177,12/03/2022 16:47:35,-2.89,78.12,-6.17,,
178,12/03/2022 16:50:35,-2.91,78.92,-6.05,,
179,12/03/2022 16:53:35,-2.93,78.88,-6.08,,
180,12/03/2022 16:56:35,-3.00,78.92,-6.14,,
181,12/03/2022 16:59:35,-3.02,79.64,-6.04,,
