#,Date-Time (MDT),Ch: 1 - Temperature   (Â°C ),Host Connected,End of File
,2022-02-25 20:50,-23.21111111, , 
,2022-02-25 20:53,-22.69444444, , 
,2022-02-25 20:56,-23.12777778, , 
,2022-02-25 20:59,-22.95555556, , 
,2022-02-25 21:02,-22.26666667, , 
,2022-02-25 21:05,-23, , 
,2022-02-25 21:08,-22.86666667, , 
,2022-02-25 21:11,-23.72777778, , 
,2022-02-25 21:14,-23.46666667, , 
,2022-02-25 21:17,-22.13888889, , 
,2022-02-25 21:20,-23, , 
,2022-02-25 21:23,-23.63888889, , 
,2022-02-25 21:26,-23.81111111, , 
,2022-02-25 21:29,-22.52777778, , 
,2022-02-25 21:32,-21.79444444, , 
,2022-02-25 21:35,-23.08333333, , 
,2022-02-25 21:38,-23.16666667, , 
,2022-02-25 21:41,-21.36666667, , 
,2022-02-25 21:44,-21.79444444, , 
,2022-02-25 21:47,-22.48333333, , 
,2022-02-25 21:50,-21.83888889, , 
,2022-02-25 21:53,-23.03888889, , 
,2022-02-25 21:56,-22.73888889, , 
,2022-02-25 21:59,-23.81111111, , 
,2022-02-25 22:02,-24.41111111, , 
,2022-02-25 22:05,-25.1, , 
,2022-02-25 22:08,-24.92777778, , 
,2022-02-25 22:11,-24.2, , 
,2022-02-25 22:14,-22.78333333, , 
,2022-02-25 22:17,-24.15555556, , 
,2022-02-25 22:20,-24.11111111, , 
,2022-02-25 22:23,-22.86666667, , 
,2022-02-25 22:26,-22.22777778, , 
,2022-02-25 22:29,-23.25555556, , 
,2022-02-25 22:32,-23.21111111, , 
,2022-02-25 22:35,-23.6, , 
,2022-02-25 22:38,-22.52777778, , 
,2022-02-25 22:41,-23.72777778, , 
,2022-02-25 22:44,-23.98333333, , 
,2022-02-25 22:47,-23.03888889, , 
,2022-02-25 22:50,-21.36666667, , 
,2022-02-25 22:53,-22.48333333, , 
,2022-02-25 22:56,-22.91111111, , 
,2022-02-25 22:59,-22.73888889, , 
,2022-02-25 23:02,-21.96666667, , 
,2022-02-25 23:05,-22.26666667, , 
,2022-02-25 23:08,-20.98333333, , 
,2022-02-25 23:11,-21.28333333, , 
,2022-02-25 23:14,-22.05555556, , 
,2022-02-25 23:17,-22.09444444, , 
,2022-02-25 23:20,-22.26666667, , 
,2022-02-25 23:23,-21.79444444, , 
,2022-02-25 23:26,-22.13888889, , 
,2022-02-25 23:29,-22.09444444, , 
,2022-02-25 23:32,-21.06666667, , 
,2022-02-25 23:35,-21.19444444, , 
,2022-02-25 23:38,-21.32222222, , 
,2022-02-25 23:41,-21.66666667, , 
,2022-02-25 23:44,-21.58333333, , 
,2022-02-25 23:47,-21.88333333, , 
,2022-02-25 23:50,-22.01111111, , 
,2022-02-25 23:53,-22.22777778, , 
,2022-02-25 23:56,-22.86666667, , 
,2022-02-25 23:59,-21.88333333, , 
,2022-02-26 0:02,-22.26666667, , 
,2022-02-26 0:05,-22.61111111, , 
,2022-02-26 0:08,-22.26666667, , 
,2022-02-26 0:11,-22.26666667, , 
,2022-02-26 0:14,-22.09444444, , 
,2022-02-26 0:17,-22.48333333, , 
,2022-02-26 0:20,-21.15, , 
,2022-02-26 0:23,-21.11111111, , 
,2022-02-26 0:26,-20.29444444, , 
,2022-02-26 0:29,-20.76666667, , 
,2022-02-26 0:32,-21.11111111, , 
,2022-02-26 0:35,-20.68333333, , 
,2022-02-26 0:38,-19.65, , 
,2022-02-26 0:41,-20.42222222, , 
,2022-02-26 0:44,-20.55, , 
,2022-02-26 0:47,-20.21111111, , 
,2022-02-26 0:50,-19.39444444, , 
,2022-02-26 0:53,-19.35, , 
,2022-02-26 0:56,-19.43888889, , 
,2022-02-26 0:59,-19.39444444, , 
,2022-02-26 1:02,-19.26666667, , 
,2022-02-26 1:05,-19.35, , 
,2022-02-26 1:08,-19.47777778, , 
,2022-02-26 1:11,-19.52222222, , 
,2022-02-26 1:14,-19.43888889, , 
,2022-02-26 1:17,-19.39444444, , 
,2022-02-26 1:20,-19.05, , 
,2022-02-26 1:23,-18.79444444, , 
,2022-02-26 1:26,-19.39444444, , 
,2022-02-26 1:29,-19.73888889, , 
,2022-02-26 1:32,-20.03888889, , 
,2022-02-26 1:35,-20.25, , 
,2022-02-26 1:38,-20.63888889, , 
,2022-02-26 1:41,-20.68333333, , 
,2022-02-26 1:44,-20.59444444, , 
,2022-02-26 1:47,-20.81111111, , 
,2022-02-26 1:50,-20.76666667, , 
,2022-02-26 1:53,-20.81111111, , 
,2022-02-26 1:56,-21.23888889, , 
,2022-02-26 1:59,-21.28333333, , 
,2022-02-26 2:02,-21.32222222, , 
