#,Date-Time (MST),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C),Button Down,Host Connected,End of File
1,12/16/2023 14:51:30,,,,Logged,,
2,12/16/2023 14:51:35,13.55,45.34,1.97,,,
3,12/16/2023 14:51:47,,,,,Logged,
4,12/16/2023 14:54:35,11.99,25.85,-6.98,,,
5,12/16/2023 14:57:35,6.98,30.28,-9.28,,,
6,12/16/2023 15:00:35,4.03,36.22,-9.61,,,
7,12/16/2023 15:03:35,3.24,38.23,-9.63,,,
8,12/16/2023 15:06:35,2.89,39.28,-9.60,,,
9,12/16/2023 15:09:35,2.32,41.31,-9.48,,,
10,12/16/2023 15:12:35,2.56,40.39,-9.54,,,
11,12/16/2023 15:15:35,2.22,40.94,-9.69,,,
12,12/16/2023 15:18:35,1.76,41.54,-9.92,,,
13,12/16/2023 15:21:35,2.19,41.87,-9.43,,,
14,12/16/2023 15:24:35,2.45,40.59,-9.58,,,
15,12/16/2023 15:27:35,2.57,39.86,-9.70,,,
16,12/16/2023 15:30:35,2.66,38.67,-10.01,,,
17,12/16/2023 15:33:35,2.39,40.11,-9.79,,,
18,12/16/2023 15:36:35,2.53,39.95,-9.71,,,
19,12/16/2023 15:39:35,2.15,40.17,-9.98,,,
20,12/16/2023 15:42:35,2.25,40.05,-9.93,,,
21,12/16/2023 15:45:35,1.88,41.45,-9.83,,,
22,12/16/2023 15:48:35,1.56,42.03,-9.94,,,
23,12/16/2023 15:51:35,1.09,44.64,-9.61,,,
24,12/16/2023 15:54:35,0.15,47.30,-9.75,,,
25,12/16/2023 15:57:35,-0.80,50.14,-9.88,,,
26,12/16/2023 16:00:35,-1.56,52.84,-9.92,,,
27,12/16/2023 16:03:35,-2.07,54.96,-9.91,,,
28,12/16/2023 16:06:35,-2.35,55.99,-9.93,,,
29,12/16/2023 16:09:35,-2.45,56.45,-9.92,,,
30,12/16/2023 16:12:35,-2.59,56.96,-9.94,,,
31,12/16/2023 16:15:35,-2.76,57.68,-9.94,,,
32,12/16/2023 16:18:35,-2.91,58.32,-9.94,,,
33,12/16/2023 16:21:35,-3.15,59.30,-9.96,,,
34,12/16/2023 16:24:35,-3.40,60.58,-9.93,,,
35,12/16/2023 16:27:35,-3.53,60.28,-10.11,,,
36,12/16/2023 16:30:35,-3.75,60.41,-10.29,,,
37,12/16/2023 16:33:35,-4.06,61.62,-10.33,,,
38,12/16/2023 16:36:35,-4.26,63.51,-10.15,,,
39,12/16/2023 16:39:35,-4.42,63.60,-10.28,,,
40,12/16/2023 16:42:35,-4.05,63.17,-10.01,,,
