#,Date-Time (MST),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,12/16/2023 12:56:27,,,,,
2,12/16/2023 12:56:33,19.07,28.79,0.54,,
3,12/16/2023 12:59:33,9.98,31.99,-5.94,,
4,12/16/2023 13:02:33,5.01,38.04,-8.11,,
5,12/16/2023 13:02:53,,,,Logged,
6,12/16/2023 13:05:33,3.34,44.43,-7.62,,
7,12/16/2023 13:08:33,1.5,47.18,-8.53,,
8,12/16/2023 13:11:33,1.1,50.2,-8.1,,
9,12/16/2023 13:14:33,1.1,49.74,-8.22,,
10,12/16/2023 13:17:33,1.27,50.83,-7.79,,
11,12/16/2023 13:20:33,1.75,50.24,-7.5,,
12,12/16/2023 13:23:33,1.55,50.51,-7.61,,
13,12/16/2023 13:26:33,1.55,48.92,-8.02,,
14,12/16/2023 13:29:33,2,48.9,-7.61,,
15,12/16/2023 13:32:33,2.22,48.52,-7.51,,
16,12/16/2023 13:35:33,1.96,48.89,-7.65,,
17,12/16/2023 13:38:33,2.46,48.49,-7.29,,
18,12/16/2023 13:41:33,2.81,47.43,-7.26,,
19,12/16/2023 13:44:33,3.17,46.45,-7.2,,
20,12/16/2023 13:47:33,2.68,47.89,-7.26,,
21,12/16/2023 13:50:33,2.49,47.61,-7.51,,
22,12/16/2023 13:53:33,2.38,48.29,-7.43,,
23,12/16/2023 13:56:33,2.51,48.86,-7.16,,
24,12/16/2023 13:59:33,2.72,48.36,-7.09,,
25,12/16/2023 14:02:33,2.88,48.19,-6.99,,
26,12/16/2023 14:05:33,3.13,48.24,-6.75,,
27,12/16/2023 14:08:33,2.98,47.84,-6.99,,
28,12/16/2023 14:11:33,2.82,48.98,-6.84,,
29,12/16/2023 14:14:33,2.91,49.02,-6.74,,
30,12/16/2023 14:17:33,2.9,49.58,-6.6,,
31,12/16/2023 14:20:33,2.96,49.25,-6.64,,
32,12/16/2023 14:23:33,2.99,49.08,-6.65,,
33,12/16/2023 14:26:33,2.44,49.66,-7,,
34,12/16/2023 14:29:33,2.27,50.75,-6.88,,
35,12/16/2023 14:32:33,2.52,49.95,-6.86,,
36,12/16/2023 14:35:33,2.95,49.62,-6.55,,
